zipcode,tmean_c,tmean_f,date,cx_opt
93252,11.883838519898372,53.39090933581707,2018-01-02,out range
93268,12.272245811346734,54.09004246042412,2018-01-02,in range
93307,10.447988260368636,50.80637886866354,2018-01-02,out range
93311,10.39668608508382,50.71403495315087,2018-01-02,out range
93313,10.454737390899052,50.818527303618296,2018-01-02,out range
93461,10.875253592865375,51.57545646715768,2018-01-02,out range
93203,11.032892095622367,51.85920577212026,2018-01-02,out range
93206,9.74205179924212,49.535693238635815,2018-01-02,out range
93215,9.553870518266846,49.19696693288032,2018-01-02,out range
93220,11.09637736774864,51.97347926194755,2018-01-02,out range
93224,14.350923955665444,57.8316631201978,2018-01-02,in range
93241,10.443060894012447,50.7975096092224,2018-01-02,out range
93243,14.095544894905975,57.371980810830756,2018-01-02,in range
93249,9.891418672535533,49.80455361056396,2018-01-02,out range
93250,9.591475351804291,49.26465563324773,2018-01-02,out range
93251,11.548693124846364,52.787647624723455,2018-01-02,out range
93263,9.489164992911425,49.080496987240565,2018-01-02,out range
93276,10.644154181847206,51.15947752732497,2018-01-02,out range
93280,9.357541594022834,48.8435748692411,2018-01-02,out range
93287,9.99984684935971,49.99972432884748,2018-01-02,out range
93301,10.21986918449402,50.39576453208923,2018-01-02,out range
93304,10.243166768508749,50.43770018331575,2018-01-02,out range
93305,10.25362898887844,50.456532179981195,2018-01-02,out range
93306,10.986427805393356,51.77557004970804,2018-01-02,out range
93308,10.284903300440464,50.51282594079284,2018-01-02,out range
93309,10.254623112770227,50.45832160298641,2018-01-02,out range
93312,10.28330124008072,50.50994223214529,2018-01-02,out range
93314,9.98329640903954,49.96993353627117,2018-01-02,out range
93518,11.535178375244142,52.76332107543946,2018-01-02,out range
93531,14.703118660870718,58.4656135895673,2018-01-02,in range
93561,13.097661198310131,55.575790156958234,2018-01-02,in range
93252,13.125028539130517,55.62505137043493,2018-01-03,in range
93268,13.51025465629708,56.31845838133475,2018-01-03,in range
93307,10.82949590519621,51.49309262935318,2018-01-03,out range
93311,10.906675241069808,51.63201543392566,2018-01-03,out range
93313,10.942783250760666,51.6970098513692,2018-01-03,out range
93461,12.349797924862632,54.22963626475274,2018-01-03,in range
93203,11.37759798108097,52.47967636594575,2018-01-03,out range
93206,10.62198095185103,51.11956571333185,2018-01-03,out range
93215,10.428614158862034,50.771505485951664,2018-01-03,out range
93220,11.688503100609903,53.03930558109783,2018-01-03,out range
93224,15.58296654779206,60.04933978602571,2018-01-03,in range
93241,10.610480842590333,51.0988655166626,2018-01-03,out range
93243,15.130335452944736,59.23460381530053,2018-01-03,in range
93249,10.730510867706917,51.31491956187245,2018-01-03,out range
93250,10.365488453314123,50.65787921596542,2018-01-03,out range
93251,12.82243204654271,55.080377683776874,2018-01-03,in range
93263,10.188271070766918,50.338887927380455,2018-01-03,out range
93276,11.519846989558294,52.735724581204934,2018-01-03,out range
93280,10.083143011499171,50.14965742069851,2018-01-03,out range
93287,10.978087370684309,51.76055726723176,2018-01-03,out range
93301,10.594888299703598,51.07079893946648,2018-01-03,out range
93304,10.651795720885582,51.17323229759405,2018-01-03,out range
93305,10.679344605962068,51.222820290731725,2018-01-03,out range
