zipcode,clust,month,year,woy,date,pool_size,num_pools,mir_all,mir_spline_all
93203,1,5,2018,19,2018-05-12,150,3,0,0
93203,1,5,2018,20,2018-05-19,NA,NA,NA,0
93203,1,5,2018,21,2018-05-26,150,3,0,0
93203,1,6,2018,22,2018-06-02,120,3,0,0
93203,1,6,2018,23,2018-06-09,NA,NA,NA,0
93203,1,6,2018,24,2018-06-16,150,3,0,0
93203,1,6,2018,25,2018-06-23,150,3,0,0
93203,1,6,2018,26,2018-06-30,150,3,0,0
93203,1,7,2018,27,2018-07-07,69,3,0,0
93203,1,7,2018,28,2018-07-14,150,3,0,0
93203,1,7,2018,29,2018-07-21,150,3,0,0
93203,1,7,2018,30,2018-07-28,NA,NA,NA,4.404761904761905
93203,1,8,2018,31,2018-08-04,105,3,9.5238095238095255,9.5238095238095255
93203,1,8,2018,32,2018-08-11,NA,NA,NA,9.752380952380957
93203,1,8,2018,33,2018-08-18,NA,NA,NA,8.114285714285714
93203,1,8,2018,34,2018-08-25,NA,NA,NA,5.409523809523811
93203,1,9,2018,35,2018-09-01,NA,NA,NA,2.4380952380952365
93203,1,9,2018,36,2018-09-08,NA,NA,0,0
93203,1,4,2019,17,2019-04-27,150,3,0,0
93203,1,5,2019,18,2019-05-04,150,3,0,0
93203,1,5,2019,19,2019-05-11,150,3,0,0
93203,1,5,2019,20,2019-05-18,NA,NA,NA,0
93203,1,5,2019,21,2019-05-25,150,3,0,0
93203,1,6,2019,22,2019-06-01,150,3,0,0
93203,1,6,2019,23,2019-06-08,NA,NA,NA,0
93203,1,6,2019,24,2019-06-15,150,3,0,0
93203,1,6,2019,25,2019-06-22,150,3,0,0
93203,1,6,2019,26,2019-06-29,150,3,0,0
93203,1,7,2019,27,2019-07-06,144,3,6.944444444444444,6.944444444444444
93203,1,7,2019,28,2019-07-13,75,3,13.333333333333334,13.333333333333334
93203,1,7,2019,29,2019-07-20,NA,NA,NA,14.10108024691358
93203,1,7,2019,30,2019-07-27,NA,NA,NA,12.71604938271605
93203,1,8,2019,31,2019-08-03,NA,NA,NA,9.895833333333334
93203,1,8,2019,32,2019-08-10,NA,NA,NA,6.358024691358025
93203,1,8,2019,33,2019-08-17,NA,NA,NA,2.820216049382714
93203,1,8,2019,34,2019-08-24,NA,NA,0,0
93203,1,5,2020,18,2020-05-02,300,6,0,0
93203,1,5,2020,19,2020-05-09,150,3,0,0
93203,1,5,2020,20,2020-05-16,NA,NA,NA,0
93203,1,5,2020,21,2020-05-23,150,3,0,0
93203,1,5,2020,22,2020-05-30,150,3,0,0
93203,1,6,2020,23,2020-06-06,150,3,0,0
93203,1,6,2020,24,2020-06-13,150,3,0,0
93203,1,6,2020,25,2020-06-20,150,3,0,0
93203,1,6,2020,26,2020-06-27,117,3,0,0
93203,1,7,2020,27,2020-07-04,NA,NA,NA,0.6755555555555557
93203,1,7,2020,28,2020-07-11,NA,NA,NA,2.2933333333333343
93203,1,7,2020,29,2020-07-18,NA,NA,NA,4.24
93203,1,7,2020,30,2020-07-25,NA,NA,NA,5.902222222222223
93203,1,8,2020,31,2020-08-01,150,3,6.666666666666667,6.666666666666667
93203,1,8,2020,32,2020-08-08,NA,NA,NA,6.404320987654321
93203,1,8,2020,33,2020-08-15,NA,NA,NA,5.530864197530864
93203,1,8,2020,34,2020-08-22,NA,NA,NA,4.25
93203,1,8,2020,35,2020-08-29,NA,NA,NA,2.7654320987654324
93203,1,9,2020,36,2020-09-05,NA,NA,NA,1.2808641975308634
93203,1,9,2020,37,2020-09-12,NA,NA,0,0
93203,1,5,2021,20,2021-05-15,NA,NA,0,0
93203,1,5,2021,21,2021-05-22,150,3,0,0
93203,1,5,2021,22,2021-05-29,NA,NA,NA,0
93203,1,6,2021,23,2021-06-05,99,3,0,0
93203,1,6,2021,24,2021-06-12,42,3,0,0
93203,1,6,2021,25,2021-06-19,NA,NA,NA,0
93203,1,6,2021,26,2021-06-26,39,3,0,0
93203,1,7,2021,27,2021-07-03,57,3,0,0
93203,1,7,2021,28,2021-07-10,114,6,0,0
93203,1,7,2021,29,2021-07-17,60,3,0,0
93203,1,7,2021,30,2021-07-24,NA,NA,NA,0
93203,1,7,2021,31,2021-07-31,NA,NA,NA,0
93203,1,8,2021,32,2021-08-07,36,3,0,0
93203,1,8,2021,33,2021-08-14,54,3,0,0
93203,1,8,2021,34,2021-08-21,NA,NA,NA,0
93203,1,8,2021,35,2021-08-28,NA,NA,NA,0
93203,1,9,2021,36,2021-09-04,NA,NA,0,0
93203,1,4,2022,18,2022-04-30,150,3,0,0
93203,1,5,2022,19,2022-05-07,NA,NA,NA,0
93203,1,5,2022,20,2022-05-14,150,3,0,0
93203,1,5,2022,21,2022-05-21,78,3,0,0
93203,1,5,2022,22,2022-05-28,60,3,0,0
93203,1,6,2022,23,2022-06-04,93,3,0,0
93203,1,6,2022,24,2022-06-11,NA,NA,NA,0
93203,1,6,2022,25,2022-06-18,NA,NA,NA,0
93203,1,6,2022,26,2022-06-25,NA,NA,NA,0
93203,1,7,2022,27,2022-07-02,NA,NA,NA,0
93203,1,7,2022,28,2022-07-09,NA,NA,NA,0
93203,1,7,2022,29,2022-07-16,NA,NA,NA,0
93203,1,7,2022,30,2022-07-23,NA,NA,NA,0
93203,1,7,2022,31,2022-07-30,NA,NA,NA,0
93203,1,8,2022,32,2022-08-06,NA,NA,NA,0
93203,1,8,2022,33,2022-08-13,NA,NA,NA,0
93203,1,8,2022,34,2022-08-20,NA,NA,NA,0
93203,1,8,2022,35,2022-08-27,NA,NA,NA,0
93203,1,9,2022,36,2022-09-03,NA,NA,NA,0
93203,1,9,2022,37,2022-09-10,NA,NA,NA,0
93203,1,9,2022,38,2022-09-17,NA,NA,NA,0
93203,1,9,2022,39,2022-09-24,NA,NA,NA,0
93203,1,10,2022,40,2022-10-01,NA,NA,0,0
93203,1,5,2023,20,2023-05-20,51,3,0,0
93203,1,5,2023,21,2023-05-27,87,3,0,0
93203,1,6,2023,22,2023-06-03,216,6,0,0
93203,1,6,2023,23,2023-06-10,150,3,0,0
93203,1,6,2023,24,2023-06-17,NA,NA,NA,0
93203,1,6,2023,25,2023-06-24,75,3,0,0
93203,1,NA,2023,26,NA,NA,NA,NA,0
93203,1,NA,2023,27,NA,NA,NA,0,0
93203,2,5,2018,21,2018-05-26,150,3,0,0
93203,2,6,2018,22,2018-06-02,150,3,0,0
93203,2,6,2018,23,2018-06-09,150,3,0,0
93203,2,6,2018,24,2018-06-16,150,3,0,0
93203,2,6,2018,25,2018-06-23,150,3,0,0
93203,2,6,2018,26,2018-06-30,150,3,0,0
93203,2,7,2018,27,2018-07-07,150,3,0,0
93203,2,7,2018,28,2018-07-14,150,3,0,0
93203,2,7,2018,29,2018-07-21,150,3,0,0
93203,2,7,2018,30,2018-07-28,150,3,0,0
93203,2,8,2018,31,2018-08-04,150,3,6.666666666666667,6.666666666666667
93203,2,8,2018,32,2018-08-11,NA,NA,NA,3.515625
93203,2,8,2018,33,2018-08-18,138,3,0,0
93203,2,8,2018,34,2018-08-25,NA,NA,NA,6.09375
93203,2,9,2018,35,2018-09-01,96,3,10.416666666666666,10.416666666666666
93203,2,9,2018,36,2018-09-08,NA,NA,0,0
93203,2,5,2019,19,2019-05-11,150,3,0,0
93203,2,5,2019,20,2019-05-18,NA,NA,NA,0
93203,2,5,2019,21,2019-05-25,150,3,0,0
93203,2,6,2019,22,2019-06-01,150,3,0,0
93203,2,6,2019,23,2019-06-08,150,3,0,0
93203,2,6,2019,24,2019-06-15,150,3,0,0
93203,2,6,2019,25,2019-06-22,150,3,0,0
93203,2,6,2019,26,2019-06-29,NA,NA,NA,0
93203,2,7,2019,27,2019-07-06,NA,NA,NA,0
93203,2,7,2019,28,2019-07-13,NA,NA,NA,0
93203,2,7,2019,29,2019-07-20,150,3,0,0
93203,2,7,2019,30,2019-07-27,150,3,6.666666666666667,6.666666666666667
93203,2,8,2019,31,2019-08-03,150,3,13.333333333333334,13.333333333333334
93203,2,8,2019,32,2019-08-10,NA,NA,NA,11.358024691358024
93203,2,8,2019,33,2019-08-17,NA,NA,NA,5.679012345679013
93203,2,8,2019,34,2019-08-24,NA,NA,0,0
93203,2,5,2020,19,2020-05-09,84,3,0,0
93203,2,5,2020,20,2020-05-16,NA,NA,NA,0
93203,2,5,2020,21,2020-05-23,96,3,0,0
93203,2,5,2020,22,2020-05-30,66,3,0,0
93203,2,6,2020,23,2020-06-06,150,3,0,0
93203,2,6,2020,24,2020-06-13,150,3,0,0
93203,2,6,2020,25,2020-06-20,150,3,0,0
93203,2,6,2020,26,2020-06-27,150,3,0,0
93203,2,7,2020,27,2020-07-04,78,3,0,0
93203,2,7,2020,28,2020-07-11,NA,NA,NA,4.315476190476192
93203,2,7,2020,29,2020-07-18,NA,NA,NA,13.095238095238098
93203,2,7,2020,30,2020-07-25,NA,NA,NA,20.089285714285715
93203,2,8,2020,31,2020-08-01,105,3,19.04761904761905,19.04761904761905
93203,2,8,2020,32,2020-08-08,105,3,0,0
93203,2,8,2020,33,2020-08-15,NA,NA,NA,0
93203,2,8,2020,34,2020-08-22,NA,NA,NA,0
93203,2,8,2020,35,2020-08-29,NA,NA,NA,0
93203,2,9,2020,36,2020-09-05,NA,NA,NA,0
93203,2,9,2020,37,2020-09-12,NA,NA,0,0
93203,2,5,2021,18,2021-05-01,138,3,0,0
93203,2,5,2021,19,2021-05-08,NA,NA,NA,0
93203,2,5,2021,20,2021-05-15,NA,NA,NA,0
93203,2,5,2021,21,2021-05-22,NA,NA,NA,0
93203,2,5,2021,22,2021-05-29,108,3,0,0
93203,2,6,2021,23,2021-06-05,NA,NA,NA,0
93203,2,6,2021,24,2021-06-12,NA,NA,NA,0
93203,2,6,2021,25,2021-06-19,120,3,0,0
93203,2,6,2021,26,2021-06-26,150,3,0,0
93203,2,7,2021,27,2021-07-03,123,3,0,0
93203,2,7,2021,28,2021-07-10,NA,NA,NA,0
93203,2,7,2021,29,2021-07-17,78,3,0,0
93203,2,7,2021,30,2021-07-24,99,3,10.101010101010102,10.101010101010102
93203,2,7,2021,31,2021-07-31,144,3,0,0
93203,2,8,2021,32,2021-08-07,150,3,6.666666666666667,6.666666666666667
93203,2,8,2021,33,2021-08-14,150,3,0,0
93203,2,8,2021,34,2021-08-21,NA,NA,NA,0
93203,2,8,2021,35,2021-08-28,NA,NA,NA,0
93203,2,9,2021,36,2021-09-04,NA,NA,0,0
