zipcode,ncells,acres,date
93252,196,43.58935075589469,2022-03-10
93268,46,10.230153748832429,2022-03-10
93307,12123,2696.0903021107724,2022-03-10
93311,2440,542.6429379815462,2022-03-10
93313,4700,1045.2548395546175,2022-03-10
93461,1,0.22239464671374842,2022-03-10
93203,7675,1706.8789135280192,2022-03-10
93206,4843,1077.0572740346836,2022-03-10
93215,2286,508.3941623876289,2022-03-10
93220,560,124.54100215969912,2022-03-10
93224,54,12.009310922542415,2022-03-10
93241,153,34.026380947203506,2022-03-10
93243,5,1.1119732335687422,2022-03-10
93249,950,211.274914378061,2022-03-10
93250,430,95.62969808691183,2022-03-10
93251,91,20.23791285095111,2022-03-10
93263,586,130.32326297425658,2022-03-10
93276,26,5.782260814557459,2022-03-10
93280,3486,775.2677384441271,2022-03-10
93287,690,153.45230623248642,2022-03-10
93301,134,29.80088265964229,2022-03-10
93304,258,57.377818852147094,2022-03-10
93305,213,47.37005975002842,2022-03-10
93306,5248,1167.1271059537517,2022-03-10
93308,3285,730.5664144546636,2022-03-10
93309,460,102.30153748832427,2022-03-10
93312,158,35.138354180772254,2022-03-10
93314,95,21.1274914378061,2022-03-10
93518,274,60.93613319956707,2022-03-10
93531,0,0,2022-03-10
93561,0,0,2022-03-10
93252,149,33.13680236034852,2022-05-13
93268,32,7.1166286948399495,2022-05-13
93307,2134,474.5901760871391,2022-05-13
93311,795,176.80374413743002,2022-05-13
93313,691,153.67470087920017,2022-05-13
93461,0,0,2022-05-13
93203,1097,243.96692744498202,2022-05-13
93206,377,83.84278181108316,2022-05-13
93215,1963,436.5606914990882,2022-05-13
93220,6,1.3343678802824905,2022-05-13
93224,47,10.452548395546176,2022-05-13
93241,4,0.8895785868549937,2022-05-13
93243,28,6.227050107984956,2022-05-13
93249,799,177.693322724285,2022-05-13
93250,354,78.72770493666694,2022-05-13
93251,74,16.457203856817383,2022-05-13
93263,464,103.19111607517927,2022-05-13
93276,22,4.8926822277024655,2022-05-13
93280,1011,224.84098782759966,2022-05-13
93287,3,0.6671839401412453,2022-05-13
93301,52,11.564521629114918,2022-05-13
93304,30,6.671839401412453,2022-05-13
93305,28,6.227050107984956,2022-05-13
93306,588,130.76805226768408,2022-05-13
93308,880,195.70728910809862,2022-05-13
93309,131,29.133698719501044,2022-05-13
93312,95,21.1274914378061,2022-05-13
93314,59,13.121284156111157,2022-05-13
93518,0,0,2022-05-13
93531,0,0,2022-05-13
93561,0,0,2022-05-13
93252,118,26.242568312222314,2022-05-21
93268,30,6.671839401412453,2022-05-21
93307,1943,432.1127985648132,2022-05-21
93311,690,153.45230623248642,2022-05-21
93313,533,118.53634669842792,2022-05-21
93461,0,0,2022-05-21
93203,856,190.36981758696865,2022-05-21
93206,286,63.60486896013205,2022-05-21
93215,1919,426.77532704368326,2022-05-21
93220,4,0.8895785868549937,2022-05-21
93224,38,8.45099657512244,2022-05-21
93241,4,0.8895785868549937,2022-05-21
93243,17,3.7807089941337235,2022-05-21
93249,798,177.47092807757124,2022-05-21
93250,307,68.27515654112077,2022-05-21
93251,77,17.12438779695863,2022-05-21
93263,438,97.4088552606218,2022-05-21
93276,15,3.3359197007062265,2022-05-21
93280,956,212.6092822583435,2022-05-21
93287,5,1.1119732335687422,2022-05-21
93301,32,7.1166286948399495,2022-05-21
93304,13,2.8911304072787294,2022-05-21
93305,16,3.5583143474199748,2022-05-21
93306,560,124.54100215969912,2022-05-21
93308,698,155.2314634061964,2022-05-21
93309,98,21.794675377947346,2022-05-21
93312,74,16.457203856817383,2022-05-21
93314,54,12.009310922542415,2022-05-21
93518,0,0,2022-05-21
93531,0,0,2022-05-21
93561,0,0,2022-05-21
93252,1095,243.52213815155454,2022-06-06
93268,1410,313.5764518663853,2022-06-06
