zipcode,water_cells,water_acres,date
93252,196,43.58935075589469,2022-03-10
93268,46,10.230153748832429,2022-03-10
93307,12123,2696.0903021107724,2022-03-10
93311,2440,542.6429379815462,2022-03-10
93313,4700,1045.2548395546175,2022-03-10
93461,1,0.22239464671374842,2022-03-10
93203,7675,1706.8789135280192,2022-03-10
93206,4843,1077.0572740346836,2022-03-10
93215,2286,508.3941623876289,2022-03-10
93220,560,124.54100215969912,2022-03-10
93224,54,12.009310922542415,2022-03-10
93241,153,34.026380947203506,2022-03-10
93243,5,1.1119732335687422,2022-03-10
93249,950,211.274914378061,2022-03-10
93250,430,95.62969808691183,2022-03-10
93251,91,20.23791285095111,2022-03-10
93263,586,130.32326297425658,2022-03-10
93276,26,5.782260814557459,2022-03-10
93280,3486,775.2677384441271,2022-03-10
93287,690,153.45230623248642,2022-03-10
93301,134,29.80088265964229,2022-03-10
93304,258,57.377818852147094,2022-03-10
93305,213,47.37005975002842,2022-03-10
93306,5248,1167.1271059537517,2022-03-10
93308,3285,730.5664144546636,2022-03-10
93309,460,102.30153748832427,2022-03-10
93312,158,35.138354180772254,2022-03-10
93314,95,21.1274914378061,2022-03-10
93518,274,60.93613319956707,2022-03-10
93531,0,0,2022-03-10
93561,0,0,2022-03-10
93252,149,33.13680236034852,2022-05-13
93268,32,7.1166286948399495,2022-05-13
93307,2134,474.5901760871391,2022-05-13
93311,795,176.80374413743002,2022-05-13
93313,691,153.67470087920017,2022-05-13
93461,0,0,2022-05-13
93203,1097,243.96692744498202,2022-05-13
93206,377,83.84278181108316,2022-05-13
93215,1963,436.5606914990882,2022-05-13
93220,6,1.3343678802824905,2022-05-13
93224,47,10.452548395546176,2022-05-13
93241,4,0.8895785868549937,2022-05-13
93243,28,6.227050107984956,2022-05-13
93249,799,177.693322724285,2022-05-13
93250,354,78.72770493666694,2022-05-13
93251,74,16.457203856817383,2022-05-13
93263,464,103.19111607517927,2022-05-13
93276,22,4.8926822277024655,2022-05-13
93280,1011,224.84098782759966,2022-05-13
93287,3,0.6671839401412453,2022-05-13
93301,52,11.564521629114918,2022-05-13
93304,30,6.671839401412453,2022-05-13
93305,28,6.227050107984956,2022-05-13
93306,588,130.76805226768408,2022-05-13
93308,880,195.70728910809862,2022-05-13
93309,131,29.133698719501044,2022-05-13
93312,95,21.1274914378061,2022-05-13
93314,59,13.121284156111157,2022-05-13
93518,0,0,2022-05-13
93531,0,0,2022-05-13
93561,0,0,2022-05-13
93252,147,32.69201306692102,2022-06-14
93268,36,8.006207281694943,2022-06-14
93307,1894,421.21546087583954,2022-06-14
93311,734,163.23767068789135,2022-06-14
93313,490,108.97337688973673,2022-06-14
93461,0,0,2022-06-14
93203,911,202.60152315622483,2022-06-14
93206,395,87.84588545193063,2022-06-14
93215,1927,428.5544842173932,2022-06-14
93220,6,1.3343678802824905,2022-06-14
93224,31,6.894234048126202,2022-06-14
93241,3,0.6671839401412453,2022-06-14
93243,35,7.783812634981195,2022-06-14
93249,744,165.46161715502882,2022-06-14
93250,312,69.38712977468951,2022-06-14
93251,75,16.679598503531132,2022-06-14
93263,468,104.08069466203426,2022-06-14
93276,18,4.003103640847471,2022-06-14
93280,1013,225.28577712102717,2022-06-14
93287,3,0.6671839401412453,2022-06-14
93301,61,13.566073449538655,2022-06-14
93304,30,6.671839401412453,2022-06-14
93305,18,4.003103640847471,2022-06-14
93306,547,121.6498717524204,2022-06-14
93308,801,178.1381120177125,2022-06-14
93309,106,23.573832551657333,2022-06-14
93312,101,22.461859318088592,2022-06-14
93314,55,12.231705569256164,2022-06-14
93518,0,0,2022-06-14
93531,0,0,2022-06-14
93561,0,0,2022-06-14
93252,142,31.580039833352277,2022-06-30
93268,29,6.449444754698704,2022-06-30
